file_id,file_type,file_size_mb,days_since_creation,days_since_last_accessed,access_count_30d
SCAN_165_Pictures/Screenshots 1/Screenshot 2026-08-14 094616.png,.png,0.055,0,0,0
SCAN_166_Pictures/Screenshots 1/Screenshot 2026-08-14 101509.png,.png,0.056,0,0,0
SCAN_167_Pictures/Screenshots/03_M.png,.png,0.133,160,160,0
SCAN_168_Pictures/Screenshots/03_W.png,.png,0.28,160,160,0
SCAN_169_Pictures/Screenshots/1234@info.png,.png,0.02,947,947,0
SCAN_170_Pictures/Screenshots/ASD.pdf,.pdf,2.106,631,631,0
SCAN_171_Pictures/Screenshots/desktop.ini,.ini,0.0,108,108,0
SCAN_172_Pictures/Screenshots/part 1 Screenshot 2024-06-15 115010.png,.png,0.095,789,789,0
SCAN_173_Pictures/Screenshots/part 2 Screenshot 2024-06-15 115032.png,.png,0.087,789,789,0
SCAN_174_Pictures/Screenshots/Screenshot (1).png,.png,1.509,640,640,0
SCAN_175_Pictures/Screenshots/Screenshot 2023-09-07 202112.png,.png,0.18,1071,1071,0
SCAN_176_Pictures/Screenshots/Screenshot 2023-09-10 212859.png,.png,0.108,1068,1068,0
SCAN_177_Pictures/Screenshots/Screenshot 2023-09-12 124640.png,.png,0.027,1066,1066,0
SCAN_178_Pictures/Screenshots/Screenshot 2023-09-12 124801.png,.png,0.035,1066,1066,0
SCAN_179_Pictures/Screenshots/Screenshot 2023-09-12 125539.png,.png,0.047,1066,1066,0
SCAN_180_Pictures/Screenshots/Screenshot 2023-09-12 131538.png,.png,0.037,1066,1066,0
SCAN_181_Pictures/Screenshots/Screenshot 2023-09-14 012734.png,.png,0.076,1065,1065,0
SCAN_182_Pictures/Screenshots/Screenshot 2023-09-27 210939.png,.png,0.155,1051,1051,0
SCAN_183_Pictures/Screenshots/Screenshot 2023-09-27 220059.png,.png,0.067,1051,1051,0
SCAN_184_Pictures/Screenshots/Screenshot 2023-09-27 220120.png,.png,0.035,1051,1051,0
SCAN_185_Pictures/Screenshots/Screenshot 2023-09-27 220141.png,.png,0.061,1051,1051,0
SCAN_186_Pictures/Screenshots/Screenshot 2023-09-28 144620.png,.png,0.032,1050,1050,0
SCAN_187_Pictures/Screenshots/Screenshot 2023-10-13 194110.png,.png,0.089,1035,1035,0
